"","age.x","politic_aff.x","rel_gender","prolific_id","per_sim1","per_sim2","persistence_time1","persistence_time2","persist_time_diff","KH_gender.x","KH_race.x"
"190",22,1,1,"6716993940988ed790a1aa1f",3,3,1196.162,176.214,-1019.948,"woman","multiracial"
"191",23,1,1,"66eebc1a09c4c8c4a1447329",7,6,108.011,191.306,83.295,"woman","none"
"192",42,1,1,"66a3cb0759e8301e32d44a1c",7,7,351.998,205.588,-146.41,"none","none"
"193",31,1,0,"66787b8b0fa35d342115f52a",5,5,99.764,1003.299,903.535,"none","none"
"194",39,2,1,"66847ba6880211797d6bb92d",7,3,85.205,21.102,-64.103,"woman","multiracial"
"195",56,3,0,"66db0a4e5e6c580200d007d3",2,2,1219.215,3037.035,1817.82,"woman","multiracial"
"196",39,1,0,"64294cae8d5cae1b2ed48562",6,6,12.151,61.974,49.823,"woman","black"
"197",30,5,1,"65c10d42d5c2debb4d480be6",3,2,684.657,389.768,-294.889,"none","none"
"198",56,1,0,"59c86f966a287600011c393e",4,4,741.083,900.254,159.171,"woman","multiracial"
"199",33,1,1,"63f8083b81d600b33e288f21",2,2,454.203,276.154,-178.049,"woman","multiracial"
"200",32,5,0,"671237aba865147787d88e96",2,2,73.933,16.656,-57.277,"woman","multiracial"
"201",66,1,0,"663b3bf473f590703fd90b65",3,2,93.345,20.801,-72.544,"woman","none"
"202",61,1,0,"6638f41b902f7e67c643308b",5,4,251.44,513.984,262.544,"woman","multiracial"
"203",71,1,1,"5dc9f3a0e2633171257d503e",7,7,254.772,173.453,-81.319,"none","black"
"204",37,3,1,"667eb62db81d7cd5426c866d",1,2,751.832,317.793,-434.039,"woman","multiracial"
"205",67,1,1,"66205dd1c80876a4b5f05567",2,3,254.428,464.942,210.514,"woman","multiracial"
"206",30,3,1,"66b231980678dfa527ee975c",5,2,202.257,165.3,-36.957,"woman","black"
"207",29,1,1,"65c1158c42ae46b4f170955f",3,3,150.555,139.089,-11.466,"none","none"
"208",43,1,0,"671d772447cf5a3419817702",6,4,174.02,50.125,-123.895,"none","black"
"209",43,3,0,"62dcc5dc8fcf471ec987e7cf",1,1,107.614,70.757,-36.857,"woman","black"
"210",54,2,1,"670abd8132c06341bf800b15",2,4,308.743,433.457,124.714,"woman","none"
"211",51,3,1,"65f880e039f4b5e8a28a37ac",3,3,900.116,697.428,-202.688,"none","none"
"212",40,1,1,"5ba863a346de410001ecfb2a",1,1,118.919,17.472,-101.447,"none","black"
"213",22,1,0,"663e4daefdaa071ec9b9fa00",5,5,200.409,160.419,-39.99,"none","multiracial"
"214",24,3,0,"5e6b034bffc1a90c3fe8c234",1,3,313.951,64.764,-249.187,"none","multiracial"
"215",44,3,0,"61632b52ab37a7fde834300f",5,3,900.012,900.015,0.003,"woman","none"
"216",53,3,1,"6444b1e677ebe8b4e2c23abd",1,1,228.478,92.865,-135.613,"woman","black"
"217",38,2,1,"66f1c48727616cf7c9f2c84a",1,2,689.482,97.117,-592.365,"none","black"
"218",26,2,1,"66ad800b1630c6cdf3f05f3c",5,4,39.559,22.383,-17.176,"woman","none"
"219",45,3,0,"6712b85b4c4dff0720b3ab63",3,4,933.844,272.633,-661.211,"woman","black"
"220",32,3,1,"5c03582c1a20110001e9843a",4,4,20.711,31.481,10.77,"woman","none"
"221",50,3,1,"645e4f49d473048703d162cb",7,6,78.418,33,-45.418,"none","none"
"222",52,3,1,"6647ce8c4b8ee105144eb431",2,2,238.927,330.04,91.113,"none","multiracial"
"223",51,1,0,"657f8b138be1350284dfe854",6,5,872.959,240.885,-632.074,"none","none"
"224",32,3,1,"670fd79cd474bd8551e427e4",1,1,104.112,136.383,32.271,"none","black"
"225",21,1,1,"66439f4a8bf2ee16ce53ef3b",2,2,328.196,157.784,-170.412,"none","black"
"226",31,1,1,"655f97cd4f1c17ae262fd0fa",3,3,326.52,82.814,-243.706,"woman","black"
"227",51,1,1,"65172fc7765bc8a93b141b68",6,5,176.704,184.958,8.254,"woman","none"
"228",32,5,1,"66b536f452d5fe8dfb915179",2,3,900.152,463.893,-436.259,"woman","none"
"229",36,3,0,"5b4d41e13d01bd0001ec46c2",1,1,358.281,126.22,-232.061,"none","multiracial"
"230",46,1,0,"6655bd8eecc380c4f0dc7b2d",3,5,836.715,627.733,-208.982,"none","black"
